query_id,answer
438,4234 1909 4396 4403 4286 4308 4328 4387 1907 1901
439,4440 4389 2171 2155 2204 3254 2222 3932 2886 2695
440,2646 4219 4214 4395 4308 4384 4389 4424 1951 3026
441,4219 4440 2646 3564 4234 4389 4308 3565 4523 1951
442,4395 4219 4214 2646 4424 4389 4308 4328 3026 4235
443,4219 2865 4400 1966 4384 2646 4403 4387 4361 3088
444,4451 4214 2698 4308 3314 4234 4447 4219 4209 1951
445,4328 4286 4396 4234 4308 1951 4219 4214 3467 1909
446,4423 4364 4346 4427 4253 4327 4234 1836 4403 4384
447,4219 4387 1958 4234 1966 2646 4400 2865 4384 4361
448,4219 4400 1966 2865 4384 2646 4387 4403 4440 2831
449,4387 1958 4219 4400 2646 2865 4384 4361 1966 4403
450,4400 4234 4219 4328 2646 4384 1966 4403 2865 4308
451,1951 4214 4234 3467 2698 4308 2646 4328 3469 4320
452,4219 4308 2646 4389 3127 4384 4214 4395 3565 4234
453,4440 4384 4389 4219 4313 4218 2646 3077 4361 4525
454,4451 4445 4361 3995 4396 4008 4234 4209 4328 4219
455,1951 4234 4361 4214 2698 4403 4362 4400 4532 4286
456,4361 4234 4384 4406 4219 2646 2865 3467 2521 4400
457,1951 4234 4308 2698 4214 3467 4219 4328 4400 2646
458,4320 1951 4440 4224 4214 2222 4235 4234 4433 4134
459,4423 4364 3028 4012 3054 4083 3688 4234 4372 2937
460,4219 2646 4400 4361 1966 2865 4384 4234 4308 4387
461,4219 4395 4214 2646 4424 2665 4308 4234 4396 4389
462,4234 4433 4304 2222 4440 4414 4451 2196 4308 4167
463,4219 4384 2865 1966 2646 4400 4361 4214 3169 3470
464,4328 4219 2865 4384 2646 4400 4332 1966 2721 4401
465,4219 4361 4387 2865 4400 1966 4403 4234 4396 2646
466,4440 4214 2665 2939 2209 4395 3255 3256 4234 4269
467,1951 4214 2698 4234 4308 4361 4403 3149 2646 4400
468,4440 4307 4008 2222 4178 4328 4224 3781 4451 4396
469,4307 4440 3784 4389 4219 4396 3786 4214 4008 3781
470,4219 4400 2865 4384 4387 1966 2646 4532 4308 1958
471,3580 4451 4180 4234 4276 4361 2698 4204 4207 4214
472,4307 3993 4224 2915 3858 4276 3536 3777 4440 4134
473,4440 4384 1966 4219 2646 4222 4400 4361 4350 4313
474,1951 4214 2698 4308 4234 4286 4328 3467 4320 4387
475,4440 2865 4219 2646 2894 4389 2886 4384 4400 4395
476,4440 4219 4389 2220 4384 4276 4395 2646 3128 4008
477,4440 4389 3151 4219 2663 2646 4214 3932 2204 2968
478,4219 2646 1966 2865 4400 4384 4387 4234 3567 4308
479,4234 4328 1909 4308 4396 1951 4286 1958 3467 2646
480,4219 4400 4384 4387 2865 2646 1966 2696 2886 3470
481,4440 4307 2222 3128 4389 2896 2895 1951 2886 2948
482,4234 1951 2646 4214 2698 3467 4328 4396 4286 2665
483,4328 4396 1909 4286 1907 4234 4451 3436 4387 4308
484,4219 1966 4384 2646 4400 2865 4387 4440 3470 2696
485,4219 4400 1966 2865 2646 4387 4384 1958 4403 4308
486,4308 4214 4234 4403 4361 4219 2646 1951 2698 4387
487,1909 4234 4328 4308 4396 4286 4361 4214 1958 3467
488,1951 3467 4320 4234 4286 3861 4214 4308 4328 4396
489,4214 1951 2698 2665 4308 4451 4219 4234 2646 4361
490,4219 4384 4308 2646 4389 4234 4361 4400 3149 2865
491,4219 4395 2646 4214 4384 4424 4308 4440 2865 4389
492,4219 4384 4387 2646 1958 1966 2865 4400 4440 4361
493,4440 3128 4389 4287 4307 4395 1951 4269 4266 4219
494,4214 4234 2698 4451 1951 4219 2646 4308 3467 4400
495,4423 4364 4083 4232 4012 3661 4384 2668 4496 4307
496,4234 4361 1909 1958 2646 4308 4396 4219 4387 4384
497,4395 2646 2521 4214 4219 2944 4424 3843 4361 4234
498,4219 2865 4400 4384 4387 2646 1958 4361 4234 4308
499,3995 4214 2665 2698 4234 4433 1951 2155 4523 4451
500,4234 4451 4214 4362 3467 4433 4308 4262 4264 4400
